1080,Pimpri Chinchwad Municipal Corporation,CRISIL AA+(SO),16-Jan-06,CRISIL AA,21-May-13,Withdrawal,30-Jun-16,CRISIL AA-,15-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,
1081,Pincha Griha Nirmaan Private Limited,CRISIL B+,10-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,Pinkku Traders,CRISIL BB-,30-Jan-10,CRISIL BB,25-Apr-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,Pinnaccle Educational Trust,CRISIL BB-,22-Dec-14,CRISIL BB,11-Dec-15,"CRISIL BB/CRISILA4+",31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,Pinnacle Infotech Solutions,CRISIL BBB,16-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,Pinnacle Life Science Private Limited,CRISIL BBB+,20-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,Pinnacle Nexus Limited,CRISIL A4+,16-May-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,Pioneer Agro Extracts Limited,CRISIL B+/CRISIL A4,31-Jan-13,CRISIL B/CRISIL A4,22-Jul-14,CRISIL B-/CRISIL A4,27-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,Pioneer Embroideries Limited,CRISIL D,15-Jan-16,"CRISIL B-/CRISILA4",30-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,Pioneer eServe Private Limited,CRISIL BBB-,15-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,Pioneer Fabricators Private Limited,CRISIL BB-/CRISIL A4+,3-Aug-11,CRISIL D/CRISIL D,9-Apr-13,CRISIL C,11-Mar-14,"CRISIL C/CRISILA4",5-Aug-14,"CRISILB/CRISIL A4",15-May-15,"CRISIL B-/CRISIL A4",1-Mar-16,,,,,,,,,,,,,,,,,,,,
1091,Pioneer Industries Limited,CRISIL BB,31-Jan-13,CRISIL BB+,28-Jul-14,CRISIL BBB-,8-Jun-15,CRISIL BBB,12-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,
1092,Pioneer Motors (Kannur) Private Limited,CRISIL BB+,27-Jan-12,CRISIL BB,23-Jun-14,CRISIL BB-,11-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,Pioneer NF Forgings India Private Limited,CRISIL B/CRISIL A4,14-Sep-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,Pioneer Panel Products,CRISIL B+,15-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,Pioneer Publicity Corporation Private Limited,CRISIL BBB/CRISIL A3+,3-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,Pipada Motors,CRISIL B+/CRISIL A4,26-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,Pipe & Metal (India),CRISIL B,1-Oct-15,CRISIL D,26-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,Pipe Distributors,CRISIL BB,14-Jun-13,CRISIL BB-,15-Feb-16,CRISIL BB,20-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,Pipe Field,CRISIL BB,14-Jun-13,CRISIL BB-,15-Feb-16,CRISIL BB,24-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,Pipefield India Private Limited,CRISIL B+,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr. No.,Name of the Issuer,Initial Rating,Date of Initial Rating,"Rating after 1stRevision","Date of 1stRevision","Rating after 2ndRevision","Date of 2ndRevision","Rating after 3rdRevision","Date of 3rdRevision","Rating after 4thRevision","Date of 4thRevision","Rating after 5thRevision","Date of 5thRevision","Rating after 6thRevision","Date of 6thRevision","Rating after 7thRevision","Date of 7thRevision","Rating after 8thRevision","Date of 8thRevision","Rating after 9thRevision","Date of 9thRevision","Rating after 10thRevision","Date of 10thRevision","Rating after 11thRevision","Date of 11thRevision","Rating after 12thRevision","Date of 12thRevision","Rating after 13thRevision","Date of 13thRevision","Rating after 14thRevision","Date of 14thRevision","Rating after 15thRevision","Date of 15thRevision"
1101,Pitambar Solvex Private Limited,CRISIL BB,13-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,Pithampur Petro Pharma Private Limited,CRISIL B+,29-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,Piyanshu Chemicals Private Limited,CRISIL BBB/CRISIL A3+,18-Nov-11,"CRISIL BBB-/CRISILA3",26-Feb-14,"CRISIL BBB/CRISILA3+",29-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,Piyush Infratech Private Limited,CRISIL B+/CRISIL A4,30-Jan-10,"CRISIL B-/CRISILA4",20-Dec-11,CRISIL B+/CRISIL A4,18-Mar-13,"CRISIL BB-/CRISIL A4+",7-Nov-13,"CRISILBB+/CRISIL A4+",22-Sep-14,,,,,,,,,,,,,,,,,,,,,,
1105,PJ Margo Private Limited,CRISIL BBB,30-Jul-11,"CRISIL BBB-/CRISILA3",12-Sep-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,PJR Project Constructions Private Limited,CRISIL BB/CRISIL A4+,14-Mar-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,PK Global Power Private Limited,CRISIL B+/CRISIL A4,28-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,PK Thungan Builders Private Limited,CRISIL B+/CRISIL A4,10-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,PKF Finance Limited,FA-,21-May-08,CRISIL BBB-/FA-,6-Dec-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,PKPN Spinning Mills Private Limited,CRISIL BBB-/CRISIL A3,19-Jan-09,"CRISIL BB+/CRISILA4+",24-Feb-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,Planet Agencies Private Limited,CRISIL BB+/CRISIL A4+,17-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,Planet PR Appartment Private Limited,CRISIL B,28-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,Planet Retail Holdings Private Limited,CRISIL BB-/CRISIL A4+,16-Feb-11,CRISIL BB-,14-Jan-14,CRISIL BB,8-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,Planned Social Concern,CRISIL B+,7-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,Plantrich Agri Tech Private Limited,CRISIL B+/CRISIL A4,21-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,Plascare Industries Private Limited,CRISIL BB-/CRISIL A4,16-Nov-09,"CRISIL BB-/CRISILA4+",28-Sep-10,CRISIL D/CRISIL D,23-Aug-12,Suspended,23-Aug-16,"CRISILB/CRISIL A4",10-Nov-16,,,,,,,,,,,,,,,,,,,,,,
1117,Plastex Products Private Limited,CRISIL BBB-/CRISIL A3,29-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,Plastiblends India Limited,CRISIL A+,7-Jul-09,"CRISIL A+/CRISILA1",13-Jun-11,CRISIL A+,6-Aug-12,"CRISIL A+/CRISILA1",30-Apr-14,,,,,,,,,,,,,,,,,,,,,,,,
1119,Plasto Eltronics Private Limited,CRISIL B+/CRISIL A4,14-May-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,Plasto Manufacturing Co.,CRISIL B+/CRISIL A4,29-Nov-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,Platina Vitrified Private Limited,CRISIL B+/CRISIL A4,2-Apr-12,"CRISIL BB-/CRISILA4+",3-May-14,"CRISIL BB/CRISILA4+",13-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,Platinum Ceramic Private Limited,CRISIL B/CRISIL A4,16-Apr-14,"CRISIL BB-/CRISILA4+",21-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,Platinum Fabrics Private Limited,CRISIL D/CRISIL D,8-Apr-11,"CRISIL B-/CRISILA4",4-Jun-13,CRISIL B+/CRISIL A4,16-Oct-14,"CRISIL B/CRISILA4",11-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,
1124,Plaza Computers,CRISIL A4+,18-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,Plaza Tex (India) Private Limited,CRISIL BB-,14-Mar-11,Suspended,26-Apr-13,CRISIL BB,20-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,Plazma Granito Private Limited,CRISIL B+,31-Dec-15,CRISIL B/CRISIL A4,21-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,PLK Manufacturing Unit,CRISIL BB-,9-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,PLN Silks Private Limited,CRISIL BB,9-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,Plus Medicare Hospitals Private Limited,CRISIL B+,10-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,Pluto Realtors Private Limited,CRISIL A,14-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Pluton Trading Co.,CRISIL BB+,28-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,Ply Com Private Limited,CRISIL B/CRISIL A4,18-Oct-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,PMA Constructions Private Limited,CRISIL BB-,30-Dec-13,CRISIL D,22-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,PMC Rubber Chemicals India Private Limited,CRISIL B+/CRISIL A4,21-May-13,CRISIL B/CRISIL A4,8-Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,PMR Construction Company,CRISIL A4,11-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,PNB Gilts Limited,CRISIL A1+,31-Dec-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,PNB Housing Finance Limited,FA,30-Sep-95,FA-,23-Dec-98,FA+,21-Dec-99,FAA-,25-Oct-00,FAA+,25-Jul-02,CRISIL AA/FAA+,26-Aug-02,"CRISILAA/FAA+/CRISILA1+",8-Sep-03,"CRISILAA+/FAAA/CRISILA1+",16-Sep-04,"CRISILAA/FAA+/CRISILA1+",10-Feb-10,"CRISILAA+/FAAA/CRISIL A1+",30-Dec-13,,,,,,,,,,,,
1138,PNP Engineering Works Private Limited,CRISIL D/CRISIL D,26-Oct-10,Suspended,19-Feb-13,CRISIL C/CRISIL A4,20-Jan-14,"CRISIL B-/CRISILA4",18-May-15,"CRISILB+/CRISIL A4",16-Jun-16,,,,,,,,,,,,,,,,,,,,,,
1139,PNR Infra India Private Limited,CRISIL B+,30-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,PNS Metals Limited,CRISIL B+,15-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,Pobji Emporium,CRISIL B/CRISIL A4,30-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,Poddar Car World Private Limited,CRISIL BB-/CRISIL A4+,24-Oct-11,"CRISIL BB/CRISILA4+",27-Nov-13,"CRISIL BB+/CRISILA4+",10-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,Poddar Mercantile Private Limited,CRISIL B+/CRISIL A4,3-Apr-12,CRISIL D/CRISIL D,15-Feb-13,CRISIL B-/CRISIL A4,22-Nov-13,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,Poddar Pigments Limited,CRISIL A-/CRISIL A2+,30-Mar-09,CRISIL A/CRISIL A1,22-Jul-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,Poddar Tyres Limited,CRISIL BBB/CRISIL A3+,21-Apr-09,"CRISILBBB+/CRISIL A2",3-Feb-11,CRISIL A-/CRISIL A1,3-Sep-12,"CRISIL A-/FA/CRISIL A1",29-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,
1146,Pokarna Engineered Stone Limited,CRISIL B+/CRISIL A4,2-Jul-15,"CRISIL BB-/CRISILA4+",23-Nov-15,"CRISIL BB+/CRISILA4+",12-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,Pokarna Limited,CRISIL D/CRISIL D,9-Nov-12,CRISIL C/CRISIL A4,14-Jan-15,CRISIL B+/CRISIL A4,2-Jul-15,"CRISIL BB-/CRISIL A4+",23-Nov-15,"CRISILBB+/CRISIL A4+",2-Dec-16,,,,,,,,,,,,,,,,,,,,,,
1148,Polar Star,CRISIL BB-/CRISIL A4+,14-Aug-13,"CRISIL BB/CRISILA4+",27-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,Polaris Consulting & Services Limited,CCR AA-,10-Jan-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,Polisetty Somasundaram,CRISIL BBB+/CRISIL A2,21-Jul-08,"CRISIL BBB/CRISILA3+",8-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,Pollutech Engineering,CRISIL BB-,31-Oct-13,Suspended,4-Feb-15,"CRISIL BBB-/CRISILA3",17-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,Polmon Instruments Private Limited,CRISIL BB/CRISIL A4+,31-Mar-14,"CRISIL BB+/CRISILA4+",19-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,Polo Hotels Limited,CRISIL B+,2-Apr-13,CRISIL D,10-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,Poly Medicure Limited,CRISIL A-/CRISIL A2+,7-Jul-08,CRISIL A/CRISIL A1,13-May-11,CRISIL A+/CRISIL A1,24-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,Poly Products,CRISIL B/CRISIL A4,27-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,Polychem Exports,CRISIL B+/CRISIL A4,26-Mar-14,CRISIL B/CRISIL A4,6-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,Polygon Chemicals Private Limited,CRISIL BB/CRISIL A4+,23-May-11,CRISIL BB,29-Aug-12,"CRISIL BB/CRISILA4+",16-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,Polyhose India (Rubber) Private Limited,CRISIL BBB/CRISIL A3+,26-Jul-12,"CRISILBBB+/CRISIL A2",10-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,Polyhose India Private Limited,CRISIL A-/CRISIL A2+,10-May-12,CRISIL A-,23-Sep-13,"CRISIL A-/CRISILA2+",2-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,Polyplastics Auto Components Private Limited,CRISIL B,23-Aug-13,CRISIL BB-,27-Nov-14,CRISIL BB+,28-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,Polyplastics Uttar Bharat Private Limited,CRISIL D/CRISIL D,21-Mar-12,CRISIL B/CRISIL A4,20-Nov-12,"CRISIL BB-/CRISILA4+",27-Nov-14,"CRISILBB+/CRISIL A4+",28-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,
1162,Polyrub Extrusions India Private Limited,CRISIL BBB-,27-Aug-12,"CRISIL BBB/CRISILA3+",25-Nov-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,Polyset Plastics Private Limited,CRISIL A+/FA+,13-Mar-96,FA+,31-Mar-97,FA,15-Apr-97,Withdrawal,31-Jan-98,"CRISILBBB/CRISIL A3+",31-Mar-09,Withdrawal,12-Nov-13,"CRISILBBB/CRISIL A3+",22-Dec-14,CRISIL BBB,5-Nov-15,,,,,,,,,,,,,,,,
1164,Polyspin Exports Limited,CRISIL BB/CRISIL A4+,20-Jan-12,"CRISIL BB-/CRISILA4+",19-Feb-13,CRISIL B+/CRISIL A4,13-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,Pondy Venkateswara Modern Rice Mill,CRISIL B-,2-Aug-11,Suspended,31-Oct-13,CRISIL B+,30-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,Ponmani Industries,CRISIL B+/CRISIL A4,26-Feb-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,Pooja Cotspin Limited,CRISIL BBB-/CRISIL A3,31-May-11,Suspended,25-Nov-13,"CRISIL BBB-/CRISILA3",5-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,Pooja Forge Limited,CRISIL A-/CRISIL A2+,28-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,Pooja Industries (Indore),CRISIL B,6-Feb-13,Suspended,28-Apr-15,CRISIL D,7-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,Pooja Sponge Private Limited,CRISIL D/CRISIL D,28-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,Pooja Technocast,CRISIL BB-,10-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,Pooja Trading Corporation,CRISIL BB-,11-Apr-12,Suspended,31-May-14,CRISIL BB+,8-Jun-15,"CRISILBB+/CRISIL A4+",22-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,
1173,Poojitha Parboiled Rice Mill,CRISIL B,30-Apr-11,CRISIL B+,26-Feb-13,CRISIL BB-,11-Apr-14,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,Poonam Enterprises,CRISIL B,23-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,Poonam Grah Nirman Private Limited,CRISIL B+/CRISIL A4,13-May-15,"CRISIL BB-/CRISILA4+",29-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,Poonam Trading Company,CRISIL BB-/CRISIL A4+,30-Apr-12,Suspended,24-Jul-14,"CRISIL BB-/CRISILA4+",10-Apr-15,"CRISIL D/CRISILD",5-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,
1177,Poorva Chemtech Private Limited,CRISIL BB/CRISIL A4+,13-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,Popatlal Nathalal Shah,CRISIL A4,14-Sep-10,CRISIL B+,7-Dec-10,CRISIL BB-,20-Feb-12,"CRISIL BB-/CRISIL A4+",13-Jan-14,CRISIL BB+,18-Sep-15,,,,,,,,,,,,,,,,,,,,,,
1179,Poppy Realtors Private Limited,CRISIL A,14-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,Poppys Knitwear Private Limited,CRISIL B/CRISIL A4,13-May-13,"CRISIL B+/CRISILA4",18-Jul-14,CRISIL A4,8-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,Popular Auto Dealers Private Limited,CRISIL BB-/CRISIL A4+,9-Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,Popular Enterprise,CRISIL BB-/CRISIL A4+,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,Popular Mega Motors India Private Limited,CRISIL BB+/CRISIL A4+,9-Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,Popular Motor Corporation,CRISIL BBB,28-Feb-11,Suspended,12-Oct-12,CRISIL BBB,28-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,Popular Motor World Private Limited,CRISIL B+,13-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,Popular Vehicles and Services Private Limited,CRISIL B/CRISIL A4,16-Mar-09,"CRISIL BB-/CRISILA4+",31-Dec-10,"CRISIL BB/CRISILA4+",3-Jun-12,Suspended,8-Dec-14,CRISIL BBB,24-Mar-17,,,,,,,,,,,,,,,,,,,,,,
1187,Popular Wheelers India Private Limited,CRISIL BB/CRISIL A4+,30-Jun-10,"CRISIL BB+/CRISILA4+",24-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,Porbandar Coal Agencies Private Limited,CRISIL BB/CRISIL A4+,18-Jan-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,Porbandar Solar Power Limited,CRISIL AA+(SO),5-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,Porus Laboratories Private Limited,CRISIL BB+/CRISIL A4+,29-Aug-13,Suspended,2-Oct-15,"CRISIL BBB-/CRISILA3",8-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,Porwal Auto Components Limited,CRISIL BBB-/CRISIL A3,17-Sep-10,CRISIL BBB-,10-Oct-12,"CRISIL BBB-/CRISILA3",31-Oct-12,"CRISILBB+/CRISIL A4+",11-Feb-14,"CRISIL BBB-/CRISIL A3",10-Nov-14,"CRISILBBB/CRISIL A3+",10-Nov-16,,,,,,,,,,,,,,,,,,,,
1192,Porwal Ginning And Pressing Private Limited,CRISIL B+,6-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,POSCO- India Pune Processing Center Private Limited,CRISIL A1+,4-Jun-08,CRISIL A1,26-Nov-12,CRISIL A1+,3-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,Positive Metering Pumps India Private Limited,CRISIL BB-/CRISIL A4+,15-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,Positive Packaging Industries Limited,CRISIL BBB-/CRISIL A3,10-Nov-08,"CRISIL BBB/CRISILA3+",8-Sep-09,"CRISIL BBB+/CRISILA2",2-Mar-10,"CRISIL A-/CRISILA2+",26-Dec-12,"CRISILA+/CRISIL A1",15-Jan-15,,,,,,,,,,,,,,,,,,,,,,
1196,Poulomi Estates Private Limited,CRISIL B+,31-May-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,Poulomi Hospitals Private Limited,CRISIL BB,9-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,Poulomi Infra Private Limited,CRISIL BB-/CRISIL A4+,22-Jan-13,CRISIL BB-,5-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,Power Cable Industries,CRISIL B,16-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,Power Chem Plast Limited,CRISIL BB-/CRISIL A4+,20-Apr-15,Suspended,26-Sep-16,"CRISIL BB/CRISILA4+",15-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,Power Control Equipments,CRISIL BBB-/CRISIL A3,31-Oct-12,"CRISIL BB+/CRISILA4+",25-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,Power Finance Corporation Limited,FAAA,6-Nov-97,CRISIL AAA/FAAA,19-May-99,"CRISILAAA/FAAA/CRISILA1+",8-Nov-00,CRISIL AAA/FAAA,2-Jul-10,"CRISILAAA/FAAA/CRISIL A1+",6-Aug-10,"CRISILAAA/CRISIL A1+",10-Mar-11,,,,,,,,,,,,,,,,,,,,
1203,Power Grid Corporation of India Limited,CRISIL AAA,28-Jul-00,"CRISIL AAA/CRISILA1+",12-Aug-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,Power Link System Private Limited,CRISIL BB+,5-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,Power Max India Private Limited,CRISIL BB+/CRISIL A4,2-Jun-09,"CRISIL BB+/CRISILA4+",15-Sep-09,CRISIL BB+,26-Jun-12,CRISIL D,6-Sep-13,CRISIL C,12-Sep-14,,,,,,,,,,,,,,,,,,,,,,
1206,Power One Micro Systems Private Limited,CRISIL BBB-/CRISIL A3,25-Mar-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,Power Spinning Mills,CRISIL B/CRISIL A4,18-Jul-14,"CRISIL B+/CRISILA4",16-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,Power Welfare Society,CRISIL BB,29-Feb-12,CRISIL D,26-Sep-14,CRISIL B-,7-Jul-15,CRISIL D,29-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,
1209,Powercon Cement Limited,CRISIL B+,5-Feb-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,Powergear Limited,CRISIL BBB-/CRISIL A3,4-Feb-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,Powergrid Vizag Transmission Limited,CRISIL AAA(SO),1-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,Powerica Limited,CCR AA,14-Dec-10,"CRISIL AA/CRISILA1+",19-Jan-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,Powerlinks Transmission Limited,CCR AA+,8-May-07,CRISIL AA+,1-Jun-11,"CRISIL AA+/CRISILA1+",29-Sep-11,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,Powermax Rubber Factory,CRISIL B,27-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,Powertech Electroinfra Private Limited,CRISIL B/CRISIL A4,28-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,Poysha Packaging Private Limited,CRISIL BB-/CRISIL A4+,28-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,Poysha Power Generation Private Limited,CRISIL BBB+,30-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,PPAP Automotive Limited,CRISIL A+/CRISIL A1,26-Feb-09,CRISIL A/CRISIL A1,13-Sep-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,PPG Asian Paints Private Limited,CRISIL A1+,21-Mar-00,"CRISIL AA-/CRISILA1+",24-Jun-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,PPS Motors Private Limited,CRISIL BBB-/CRISIL A3,27-Sep-12,CRISIL BBB-,17-Nov-15,CRISIL BBB,14-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,PR.M. Modern Rice Mill,CRISIL B+,29-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,Prabh Dayal Om Parkash (Jalandhar),CRISIL B-,30-Nov-12,CRISIL B,18-Jun-14,Suspended,25-Dec-15,CRISIL B,20-May-16,,,,,,,,,,,,,,,,,,,,,,,,
1223,Prabh Dayal Om Parkash Infrastructure Private Limited,CRISIL BBB-/CRISIL A3,12-Dec-12,"CRISIL BB+/CRISILA4+",15-Nov-13,"CRISIL BBB-/CRISILA3",8-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,Prabha Infrastructure Private Limited,CRISIL B/CRISIL A4,27-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,Prabhat Agro Multi-State Co-Operative Limited,CRISIL A4+,24-Jan-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,Prabhat Cables Private Limited,CRISIL B,19-Jun-12,CRISIL B+,30-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr. No.,Name of the Issuer,Initial Rating,Date of Initial Rating,"Rating after 1stRevision","Date of 1stRevision","Rating after 2ndRevision","Date of 2ndRevision","Rating after 3rdRevision","Date of 3rdRevision","Rating after 4thRevision","Date of 4thRevision","Rating after 5thRevision","Date of 5thRevision","Rating after 6thRevision","Date of 6thRevision","Rating after 7thRevision","Date of 7thRevision","Rating after 8thRevision","Date of 8thRevision","Rating after 9thRevision","Date of 9thRevision","Rating after 10thRevision","Date of 10thRevision","Rating after 11thRevision","Date of 11thRevision","Rating after 12thRevision","Date of 12thRevision","Rating after 13thRevision","Date of 13thRevision","Rating after 14thRevision","Date of 14thRevision","Rating after 15thRevision","Date of 15thRevision"
