156,Abhijit Auto Agency India Private Limited,CRISIL BB-,31-Jul-13,CRISIL BB,19-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Abhijit Tea Co Private Limited,CRISIL BB+/CRISIL A4+,22-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Abhilasha Jewellers Private Limited,CRISIL A3,5-Mar-09,CRISIL A3+,2-Feb-10,Suspended,7-Aug-12,CRISIL BBB-,29-Apr-13,CRISIL BBB,23-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Abhimanu Adventure Resorts Private Limited,CRISIL B-,13-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Abhiraj Corporation,CRISIL B,8-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Abhishek Motors Private Limited,CRISIL D,29-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Abhishek Solar Industries Private Limited,CRISIL B+/CRISIL A4,29-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Abhishek Solvent Extractions Private Limited,CRISIL BB-/CRISIL A4+,30-Mar-12,CRISIL BB-,28-Mar-13,CRISIL BB,15-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Abhitech Energycon Limited,CRISIL BB,13-Nov-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Abhivyakti Welfare Society,CRISIL B,23-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Abhiyan Dealcomm Private Limited,CRISIL BB-,20-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Abhyudaya Housing and Constructions Private Limited,CRISIL BBB-/CRISIL A3,19-Feb-10,"CRISIL BB/CRISILA4+",1-Aug-12,"CRISIL BB+/CRISILA4+",23-Sep-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Abi and Abi Motors,CRISIL BB+,29-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Abirami Pet Industries,CRISIL BB/CRISIL A4+,21-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Abirami Polymers,CRISIL BB-/CRISIL A4+,28-Feb-15,"CRISIL BB/CRISILA4+",17-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,ABM 4 Builders,CRISIL BB-/CRISIL A4+,10-Feb-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,ABM Civil Ventures Private Limited,CRISIL BB-/CRISIL A4+,27-May-15,"CRISIL B+/CRISILA4",30-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,ABM International Limited,CRISIL A4+,28-Sep-12,CRISIL A4,14-Nov-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,ABM Knowledgeware Limited,CRISIL BBB+/CRISIL A2+,21-Jun-12,"CRISILBBB+/CRISIL A2",24-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,ABS Electroplaters (India) Private Limited,CRISIL BB-,25-Feb-11,Suspended,7-Jul-14,"CRISIL BBB-/CRISILA3",30-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr. No,Name of the Issuer,Initial Rating,Date of Initial Rating,"Rating after 1stRevision","Date of 1stRevision","Rating after 2ndRevision","Date of 2ndRevision","Rating after 3rdRevision","Date of 3rdRevision","Rating after 4thRevision","Date of 4thRevision","Rating after 5thRevision","Date of 5thRevision","Rating after 6thRevision","Date of 6thRevision","Rating after 7thRevision","Date of 7thRevision","Rating after 8thRevision","Date of 8thRevision","Rating after 9thRevision","Date of 9thRevision","Rating after 10thRevision","Date of 10thRevision","Rating after 11thRevision","Date of 11thRevision","Rating after 12thRevision","Date of 12thRevision","Rating after 13thRevision","Date of 13thRevision","Rating after 14thRevision","Date of 14thRevision","Rating after 15thRevision","Date of 15thRevision","Rating after 16thRevision","Date of 16thRevision","Rating after 17thRevision","Date of 17thRevision","Rating after 18thRevision","Date of 18thRevision"
176,ABS Marine Services Private Limited,CRISIL BBB/CRISIL A3+,15-Apr-09,"CRISIL BBB/CRISILA2",15-Mar-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,ABS Wheels Private Limited,CRISIL B/CRISIL A4,10-Dec-14,CRISIL D/CRISIL D,28-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Absolute Projects India Limited,CRISIL BB/CRISIL A4+,7-Feb-12,Suspended,17-Dec-13,"CRISIL BB+/CRISILA4+",30-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Abu Dhabi Commercial Bank Limited,CRISIL A1+,20-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Academy of Maritime Education and Training,CRISIL BB-/CRISIL A4+,22-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,ACB India Limited,CRISIL A/CRISIL A2+,22-Jul-08,CRISIL A/CRISIL A1,1-Oct-09,CRISIL A+/CRISIL A1,16-Sep-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,ACC Limited,CRISIL AA+,6-Nov-06,"CRISIL AAA/CRISILA1+",27-Nov-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Accent Industries Limited,CRISIL B-/CRISIL A4,13-Dec-13,CRISIL B/CRISIL A4,27-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Accent Microcell Private Limited,CRISIL BB/CRISIL A4+,16-Apr-15,"CRISIL BB+/CRISILA4+",18-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Accord Buildcon Private Limited,CRISIL BB,5-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Accord Hospitality and Services,CRISIL B-,22-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Accord Udyog Private Limited,CRISIL B+,16-Sep-14,Suspended,12-Jan-16,CRISIL C,5-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Accrete Pharmaceuticals Private Limited,CRISIL B+/CRISIL A4,30-May-14,Suspended,8-Feb-16,CRISIL B-/CRISIL A4,8-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Accurate Infra Industries Private Limited,CRISIL B,26-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Accurate Products Corporation Private Limited,CRISIL BBB-/CRISIL A3,30-May-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,ACE Augusta,CRISIL B+,14-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,ACE Autocars Private Limited,CRISIL B+,16-Aug-13,CRISIL B-,8-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Ace Commercial Co Private Limited,CRISIL BB+,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Ace Kudale Car Private Limited,CRISIL B+/CRISIL A4,3-Jan-12,CRISIL B/CRISIL A4,24-Dec-12,CRISIL B+/CRISIL A4,16-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Ace Motors Private Limited,CRISIL BBB-,15-Apr-13,CRISIL BB+,13-Jun-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Ace Multi Axes Systems Limited,CRISIL BBB/CRISIL A3+,30-Mar-10,"CRISILBBB+/CRISIL A2",2-May-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Acer Granito Private Limited,CRISIL BB-/CRISIL A4+,24-May-10,Suspended,9-Jan-12,"CRISIL BBB-/CRISILA3",30-Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,ACETEL Enterprises Private Limited,CRISIL BB-,23-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Achievers Builders Private Limited,CRISIL BB-,20-Aug-15,CRISIL D,13-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Acme Builders Private Limited,CRISIL B+,30-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Acme Commodities Private Limited,CRISIL BBB-/CRISIL A3,13-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Acme Excellent Management Private Limited,CRISIL BB/CRISIL A4+,18-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,ACME Fitness Private Limited,CRISIL BB/CRISIL A4+,14-Jul-14,Suspended,13-Jan-16,CRISIL BB-,24-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,ACME Generics LLP,CRISIL BB-,20-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,ACME Sawant Ventures,CRISIL B+,2-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Acoustics India Private Limited,CRISIL B+/CRISIL A4,16-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,ACT Infraport Limited,CRISIL BBB-/CRISIL A3,16-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Action Construction Equipment Limited,CRISIL A+/CRISIL A1,18-Dec-08,"CRISIL AA-/CRISILA1+",31-Mar-11,CRISIL A+/CRISIL A1,8-Oct-12,"CRISIL A/CRISILA2+",11-Sep-13,"CRISILA/CRISIL A1",8-Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Actionware India Private Limited,CRISIL BB+/CRISIL A4+,5-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Actis Generics Pvt Ltd,CRISIL D,10-Oct-14,CRISIL B-,1-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Active Tools Private Limited,CRISIL BB/CRISIL A4+,21-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Aculife Healthcare Private Limited,CRISIL BBB,14-Mar-16,"CRISIL BBB/CRISILA3+",9-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Acumen Overseas Private Limited,CRISIL A4+,17-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Ad - Manum Finance Limited,CRISIL BBB+,19-Sep-08,CRISIL BBB,20-Dec-13,CRISIL BBB-,25-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,AD Merchant India Private Limited,CRISIL B,28-Aug-13,CRISIL B+,7-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Adage Automation Private Limited,CRISIL BB+/CRISIL A4+,1-Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Adam & Coal Resources Private Limited,CRISIL A3+,22-May-13,"CRISIL BBB/CRISILA3+",8-Oct-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Adam Fabriwerk Private Limited,CRISIL BBB/CRISIL A3+,26-Nov-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Adams Marketing Private Limited,CRISIL BB-,22-Dec-10,"CRISIL BB-/CRISILA4+",21-May-13,CRISIL D/CRISIL D,27-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Adani Ports and Special Economic Zone Limited,CRISIL AA,1-Jun-10,"CRISIL AA/CRISILA1+",28-Jul-10,"CRISIL AA-/CRISILA1+",16-Sep-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Adani Power Limited,CRISIL BBB,7-Jun-10,CRISIL A-,30-Jun-11,CRISIL BBB,9-Jul-12,CRISIL BB+,14-Dec-13,CRISIL BB-,2-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Adapt Infra Private Limited,CRISIL BB-/CRISIL A4+,30-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Adarsh Heights Private Limited,CRISIL BB+,26-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Adarsh Jan Kalyan Evam Shiksha Samiti,CRISIL B,28-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Adarsh Kanch Udyog Private Limited,CRISIL BB/CRISIL A4+,17-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Adarsh Synthetics Private Limited,CRISIL BB-,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Adarsha Control Systems Pvt. Ltd.,CRISIL BB-,21-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,ADD Pens Private Limited,CRISIL A1,18-Dec-01,CRISIL A2+,18-Jul-05,"CRISIL BBB/CRISILA3+",6-Jan-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,ADF Foods Limited,CRISIL A2+,28-Feb-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Adgums Private Limited,CRISIL BB/CRISIL A4+,19-Feb-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Adharshila Samazik Evam Sanskritik Vikas Sansthan,CRISIL B-,30-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Adhik Resort India Private Limited,CRISIL B+,29-Jun-15,CRISIL BB-,24-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Adhunik Infrastructures Private Limited,CRISIL BBB/CRISIL A3+,4-Dec-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Adi Wires Private Limited,CRISIL D,12-Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Adinath Foundations Private Limited,CRISIL B+,31-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Adinath Jewellery Exports,CRISIL A-,31-May-11,CRISIL A,9-Apr-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Adithya Global Health care Private Limited,CRISIL B,6-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Aditi Industries,CRISIL B+,16-Nov-12,CRISIL BB-,6-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Aditi Infrabuild and Services Limited,CRISIL BB/CRISIL A4+,12-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Aditya Agro Industry,CRISIL B+,31-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,"Aditya Auto Products and Engineering India PrivateLimited",CRISIL BBB+/CRISIL A2,3-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Aditya Birla Fashion and Retail Limited,CRISIL AA/CRISIL A1+,27-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Aditya Birla Health Services Limited,CRISIL BBB-,5-Jan-09,"CRISIL BBB-/CRISILA3",9-May-12,CRISIL BBB-,24-Sep-13,CRISIL BBB,3-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Aditya Birla Money Limited,CRISIL A1+,30-Sep-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Aditya Birla Nuvo Limited,CRISIL AA+,26-Dec-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Aditya Birla Retail Limited,CRISIL A-/CRISIL A2+,11-Jun-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Aditya Birla Solar Limited,CRISIL A-,2-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Aditya Car Automotives Private Limited,CRISIL BBB,31-Dec-10,CRISIL BBB-,11-Mar-13,"CRISIL BB+/CRISILA4+",17-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Aditya Car Care Private Limited,CRISIL B,28-Feb-12,"CRISIL BB-/CRISILA4+",13-Oct-15,CRISIL BB-,24-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Aditya Construction Company,CRISIL B+/CRISIL A4,21-Feb-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Aditya Dispomed Products Private Limited,CRISIL BBB-/CRISIL A3,30-Sep-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Aditya Engineers,CRISIL B+/CRISIL A4,26-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Aditya Extractions Private Limited,CRISIL BB-,29-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Aditya Motocorp Private Limited,CRISIL B,23-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Aditya Motors,CRISIL B,22-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Aditya Sales,CRISIL B-,28-Apr-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Aditya Steel Rolling Mills Private Limited,CRISIL BB-/CRISIL A4+,25-Aug-11,Suspended,14-Nov-13,CRISIL B/CRISIL A4,22-Jan-14,CRISIL D/CRISIL,6-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Aditya Translink Private Limited,CRISIL BBB-/CRISIL A3,31-Mar-09,"CRISIL BB+/CRISILA4+",4-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Admark Ceramic Industries,CRISIL B/CRISIL A4,20-Jun-14,"CRISIL B+/CRISILA4",9-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Adnan Traders,CRISIL A4,30-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Ador Powertron Limited,CRISIL A-/CRISIL A2+,8-Apr-09,"CRISILBBB+/CRISIL A2",14-Sep-12,"CRISIL BBB/CRISILA3+",10-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Adore Suitings Private Limited,CRISIL BB-,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Adpro Ceramics India Private Limited,CRISIL B+/CRISIL A4,25-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Adroit Corporate Services Private Limited,CRISIL BB,30-Jul-13,CRISIL B+,16-Nov-15,CRISIL D,1-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Adroit Industries India Limited,CRISIL A4+,30-Sep-10,Suspended,26-Mar-13,"CRISIL BB+/CRISILA4+",30-Oct-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Adroit Infratech Private Limited,CRISIL B+,28-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Adroit Structural Engineers Private Limited,CRISIL BB-/CRISIL A4+,17-Apr-15,"CRISIL BB/CRISILA4+",25-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Adroit Urban Developers Private Limited,CRISIL B+,12-Aug-14,CRISIL BB-,25-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Advait Steel Rolling Mills Private Limited,CRISIL B,31-Jul-15,CRISIL D,29-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Advance Cable Technologies Private Limited,CRISIL BB/CRISIL A4+,4-Nov-15,"CRISIL BB+/CRISILA4+",13-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Advance Cropcare India Private Limited,CRISIL B+,31-Oct-11,CRISIL BB-,6-Dec-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Advance Die Cast,CRISIL BB-/CRISIL A4+,6-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Advance Forgings Private Limited,CRISIL BBB-,22-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Advance Laminates Private Limited,CRISIL B+,24-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Advance Lamp Component & Table Wares Pvt. Ltd.,CRISIL BB/CRISIL A4+,17-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Advance Metal Powder,CRISIL B+/CRISIL A4,27-Sep-12,"CRISIL BB-/CRISILA4+",28-Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Advance Panels and Switchgears Private Limited,CRISIL BBB/CRISIL A3+,9-Jul-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Advance Steel Tubes Limited,CRISIL A-/CRISIL A2+,20-Nov-08,"CRISILBBB+/CRISIL A2",29-Aug-12,"CRISIL BBB/CRISILA3+",16-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Advanced Enzyme Technologies Limited,CRISIL A,24-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Advanced Mining Technologies Private Limited,CRISIL BB-/CRISIL A4+,27-Oct-10,"CRISIL B+/CRISILA4",28-Oct-11,CRISIL D/CRISIL D,9-Aug-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Advani Hotels and Resorts India Limited,CRISIL BBB-,13-Jul-12,"CRISIL BBB-/CRISILA3",19-Jun-14,"CRISIL BBB/CRISILA3+",13-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Advansys (India) Private Limited,CRISIL B,10-Dec-14,CRISIL D,1-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,"Advantage Organic Naturals Technologies PrivateLimited",CRISIL D,3-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Advatech Cera Tiles Limited,CRISIL D/CRISIL D,7-Oct-09,"CRISIL B-/CRISILA4",30-Jul-10,Suspended,9-Apr-12,"CRISIL B+/CRISILA4",8-Oct-12,CRISIL B+,11-Nov-14,"CRISILB+/CRISIL A4",14-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Advy Chemical Private Limited,CRISIL BB+/CRISIL A4+,11-Jun-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Adwaith Lakshmi Industries Limited,CRISIL BBB+/CRISIL A2,23-Oct-08,"CRISIL BBB-/CRISILA3",20-Aug-09,"CRISIL BBB/CRISILA3+",29-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Adwaith Textiles Limited,CRISIL BB-/CRISIL A4+,16-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Adya Bhawan Limited,CRISIL BB-,29-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Aeon Formulations Private Limited,CRISIL BB/CRISIL A4+,15-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Aeon Medical Private Limited,CRISIL BB-/CRISIL A4+,28-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Aercomfort Private Limited,CRISIL B/CRISIL A4,5-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Aero Club,CRISIL A-/CRISIL A2+,15-May-09,"CRISILBBB+/CRISIL A2",29-Oct-12,"CRISIL BBB/CRISILA3+",9-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Aero Engineers,CRISIL BB-/CRISIL A4+,20-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Aero Treatments Private Limited,CRISIL B,30-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Aerobok Shoe Private Limited,CRISIL BB/CRISIL A4+,27-May-11,"CRISIL BB+/CRISILA4+",28-Dec-12,"CRISIL BBB-/CRISILA3",12-Jun-13,"CRISILBBB/CRISIL A3+",16-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Aerocon Buildwell Private Limited,CRISIL D/CRISIL D,30-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Aeron Exports Private Limited,CRISIL B,27-Jan-14,CRISIL B+,23-Feb-15,CRISIL D,14-Apr-16,CRISIL B-,24-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Aerospace Engineers,CRISIL B+/CRISIL A4,10-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Aesthetic Gold Ornaments Private Limited,CRISIL BBB-,25-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Aether Industries Limited,CRISIL BB-,18-Feb-16,"CRISIL BB/CRISILA4+",15-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Affil Vitrified Private Limited,CRISIL BB-/CRISIL A4+,6-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Afflatus Gravures Private Limited,CRISIL BBB+/CRISIL A2,15-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Afflatus International,CRISIL A4+,6-Jul-11,Suspended,11-Mar-16,"CRISIL BBB-/CRISILA3",2-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Affordable Robotic and Automation Private Limited,CRISIL B+/CRISIL A4,30-Sep-14,"CRISIL BB-/CRISILA4+",23-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,AFPL Global Private Limited,CRISIL A3,7-Sep-10,Suspended,24-Jun-14,CRISIL A3+,26-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Afras Cashew Traders,CRISIL B+,29-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Aftab Steels Private Limited,CRISIL B/CRISIL A4,10-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,AG Conveying Systems Private Limited,CRISIL D/CRISIL D,14-Mar-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Agappe Diagnostics Limited,CRISIL A2,6-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Agarwal and Associates Impex Private Limited,CRISIL B,17-Dec-12,CRISIL B/CRISIL A4,31-Dec-14,CRISIL B+/CRISIL A4,25-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Agarwal Associates and Agencies,CRISIL C,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Agarwal Auto Sales,CRISIL B/CRISIL A4,17-Nov-11,"CRISIL B+/CRISILA4",30-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
